time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-29T07:02:06.750Z,29.7298,-42.6917,10,4.8,mb,,152,14.925,0.71,us,us10007d2l,2016-11-29T08:39:02.040Z,"Northern Mid-Atlantic Ridge",earthquake,6.5,1.9,0.094,35,reviewed,us,us
2016-11-29T07:00:38.775Z,36.0265,-114.859,0,1.9,ml,23,185.08,0.206,,nn,nn00567973,2016-11-29T07:02:29.485Z,"5km NNW of Boulder City, Nevada",earthquake,,,0.35,11,automatic,nn,nn
2016-11-29T06:46:13.763Z,57.6068,-154.9564,74,2.4,ml,,,,0.2,ak,ak14481575,2016-11-29T06:52:07.721Z,"58km W of Larsen Bay, Alaska",earthquake,,1.6,,,automatic,ak,ak
2016-11-29T06:43:58.780Z,37.8284988,-122.046669,8.73,1.61,md,24,46,0.05241,0.06,nc,nc72730690,2016-11-29T07:00:03.797Z,"2km SSW of Alamo, California",earthquake,0.26,0.55,0.12,21,automatic,nc,nc
2016-11-29T06:36:10.300Z,19.2695,-64.9984,30,3.1,Md,7,309.6,0.99263839,0.41,pr,pr16334005,2016-11-29T08:15:53.601Z,"102km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.9,29.6,0,6,reviewed,pr,pr
2016-11-29T06:34:26.500Z,19.148,-64.7229,24,2,Md,4,324,0.81297533,0.31,pr,pr16334006,2016-11-29T08:16:49.762Z,"81km N of Road Town, British Virgin Islands",earthquake,2.7,27.6,0,3,reviewed,pr,pr
2016-11-29T06:21:43.070Z,38.8296661,-122.8485031,1.32,1.07,md,14,56,0.006872,0.02,nc,nc72730685,2016-11-29T06:46:01.764Z,"9km NW of The Geysers, California",earthquake,0.24,0.53,0.12,4,automatic,nc,nc
2016-11-29T06:21:29.951Z,63.0941,-151.5179,10.8,1.6,ml,,,,0.56,ak,ak14481572,2016-11-29T06:32:58.033Z,"112km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-11-29T06:18:09.600Z,19.0797,-64.7492,24,2.3,Md,3,320.4,0.74470337,0.2,pr,pr16334004,2016-11-29T08:15:13.469Z,"74km N of Road Town, British Virgin Islands",earthquake,1.9,18.1,0,2,reviewed,pr,pr
2016-11-29T06:10:23.360Z,38.8308334,-122.8485031,0.63,1.36,md,16,101,0.01278,0.03,nc,nc72730680,2016-11-29T06:35:01.745Z,"9km NW of The Geysers, California",earthquake,0.21,0.58,0.11,6,automatic,nc,nc
2016-11-29T05:20:04.200Z,19.1392,-64.7188,29,2.5,Md,3,324,0.80399218,0.1,pr,pr16334003,2016-11-29T08:14:08.274Z,"80km N of Road Town, British Virgin Islands",earthquake,1.9,11.6,0,2,reviewed,pr,pr
2016-11-29T04:59:18.660Z,34.1665,-117.0583333,16.08,1.13,ml,12,207,0.1971,0.23,ci,ci37752408,2016-11-29T05:03:04.127Z,"7km SE of Running Springs, CA",earthquake,1.85,4.11,0.247,19,automatic,ci,ci
2016-11-29T04:45:36.080Z,36.2198333,-117.9983333,1.17,1.21,ml,15,111,0.1546,0.11,ci,ci37752400,2016-11-29T04:49:12.604Z,"7km S of Olancha, CA",earthquake,0.32,0.56,0.183,15,automatic,ci,ci
2016-11-29T04:38:57.200Z,37.3812,-115.0415,4.2,2,ml,34,70.91,0.032,,nn,nn00567965,2016-11-29T04:41:47.105Z,"11km E of Alamo, Nevada",earthquake,,,,,automatic,nn,nn
2016-11-29T04:28:33.727Z,36.6758,-116.1088,12.3,1.6,ml,28,52.77,0.022,0.1546,nn,nn00567964,2016-11-29T05:02:02.457Z,"53km NNW of Pahrump, Nevada",earthquake,,0.7,0.23,21,reviewed,nn,nn
2016-11-29T04:18:37.750Z,38.828167,-122.8460007,1.49,1.96,md,25,55,0.008515,0.04,nc,nc72730650,2016-11-29T05:19:01.588Z,"9km NW of The Geysers, California",earthquake,0.2,0.32,0.14,11,automatic,nc,nc
2016-11-29T04:02:01.110Z,38.8264999,-122.8503342,1.27,1.21,md,16,61,0.005213,0.03,nc,nc72730635,2016-11-29T05:08:01.548Z,"9km NW of The Geysers, California",earthquake,0.2,0.52,0.1,4,automatic,nc,nc
2016-11-29T03:53:53.490Z,-0.1818,125.7081,37.04,5.3,mb,,52,1.91,1.16,us,us10007d24,2016-11-29T04:08:54.040Z,"177km SE of Modayag, Indonesia",earthquake,6.5,6.5,0.071,67,reviewed,us,us
2016-11-29T03:51:44.890Z,32.7468333,-115.8871667,8.45,1.02,ml,10,78,0.1034,0.13,ci,ci37752368,2016-11-29T03:55:21.744Z,"10km E of Ocotillo, CA",earthquake,0.39,1.6,0.285,8,automatic,ci,ci
2016-11-29T03:49:21.860Z,38.8311653,-122.8506699,2.13,1.35,md,16,54,0.006045,0.05,nc,nc72730620,2016-11-29T04:45:03.476Z,"10km NW of The Geysers, California",earthquake,0.3,0.44,0.07,5,automatic,nc,nc
2016-11-29T03:47:05.550Z,38.8284988,-122.8513336,2.56,1.35,md,19,56,0.00443,0.05,nc,nc72730610,2016-11-29T04:33:03.453Z,"10km NW of The Geysers, California",earthquake,0.34,0.47,0.01,5,automatic,nc,nc
2016-11-29T03:46:25.900Z,38.8305016,-122.8518295,2,1.67,md,20,46,0.004923,0.05,nc,nc72730605,2016-11-29T04:22:02.430Z,"10km NW of The Geysers, California",earthquake,0.24,0.43,0.14,8,automatic,nc,nc
2016-11-29T03:45:02.940Z,38.8293343,-122.8454971,1.16,2.99,md,37,38,0.009063,0.06,nc,nc72730585,2016-11-29T04:22:03.431Z,"9km NW of The Geysers, California",earthquake,0.18,0.29,0.17,37,automatic,nc,nc
